"","color","spine","width","satell","weight"
"1",3,3,28.3,8,3.05
"2",4,3,22.5,0,1.55
"3",2,1,26,9,2.3
"4",4,3,24.8,0,2.1
"5",4,3,26,4,2.6
"6",3,3,23.8,0,2.1
"7",2,1,26.5,0,2.35
"8",4,2,24.7,0,1.9
"9",3,1,23.7,0,1.95
"10",4,3,25.6,0,2.15
"11",4,3,24.3,0,2.15
"12",3,3,25.8,0,2.65
"13",3,3,28.2,11,3.05
"14",5,2,21,0,1.85
"15",3,1,26,14,2.3
"16",2,1,27.1,8,2.95
"17",3,3,25.2,1,2
"18",3,3,29,1,3
"19",5,3,24.7,0,2.2
"20",3,3,27.4,5,2.7
"21",3,2,23.2,4,1.95
"22",2,2,25,3,2.3
"23",3,1,22.5,1,1.6
"24",4,3,26.7,2,2.6
"25",5,3,25.8,3,2
"26",5,3,26.2,0,1.3
"27",3,3,28.7,3,3.15
"28",3,1,26.8,5,2.7
"29",5,3,27.5,0,2.6
"30",3,3,24.9,0,2.1
"31",2,1,29.3,4,3.2
"32",2,3,25.8,0,2.6
"33",3,2,25.7,0,2
"34",3,1,25.7,8,2
"35",3,1,26.7,5,2.7
"36",5,3,23.7,0,1.85
"37",3,3,26.8,0,2.65
"38",3,3,27.5,6,3.15
"39",5,3,23.4,0,1.9
"40",3,3,27.9,6,2.8
"41",4,3,27.5,3,3.1
"42",2,1,26.1,5,2.8
"43",2,1,27.7,6,2.5
"44",3,1,30,5,3.3
"45",4,1,28.5,9,3.25
"46",4,3,28.9,4,2.8
"47",3,3,28.2,6,2.6
"48",3,3,25,4,2.1
"49",3,3,28.5,3,3
"50",3,1,30.3,3,3.6
"51",5,3,24.7,5,2.1
"52",3,3,27.7,5,2.9
"53",2,1,27.4,6,2.7
"54",3,3,22.9,4,1.6
"55",3,1,25.7,5,2
"56",3,3,28.3,15,3
"57",3,3,27.2,3,2.7
"58",4,3,26.2,3,2.3
"59",3,1,27.8,0,2.75
"60",5,3,25.5,0,2.25
"61",4,3,27.1,0,2.55
"62",4,3,24.5,5,2.05
"63",4,1,27,3,2.45
"64",3,3,26,5,2.15
"65",3,3,28,1,2.8
"66",3,3,30,8,3.05
"67",3,3,29,10,3.2
"68",3,3,26.2,0,2.4
"69",3,1,26.5,0,1.3
"70",3,3,26.2,3,2.4
"71",4,3,25.6,7,2.8
"72",4,3,23,1,1.65
"73",4,3,23,0,1.8
"74",3,3,25.4,6,2.25
"75",4,3,24.2,0,1.9
"76",3,2,22.9,0,1.6
"77",4,2,26,3,2.2
"78",3,3,25.4,4,2.25
"79",4,3,25.7,0,1.2
"80",3,3,25.1,5,2.1
"81",4,2,24.5,0,2.25
"82",5,3,27.5,0,2.9
"83",4,3,23.1,0,1.65
"84",4,1,25.9,4,2.55
"85",3,3,25.8,0,2.3
"86",5,3,27,3,2.25
"87",3,3,28.5,0,3.05
"88",5,1,25.5,0,2.75
"89",5,3,23.5,0,1.9
"90",3,2,24,0,1.7
"91",3,1,29.7,5,3.85
"92",3,1,26.8,0,2.55
"93",5,3,26.7,0,2.45
"94",3,1,28.7,0,3.2
"95",4,3,23.1,0,1.55
"96",3,1,29,1,2.8
"97",4,3,25.5,0,2.25
"98",4,3,26.5,1,1.967
"99",4,3,24.5,1,2.2
"100",4,3,28.5,1,3
"101",3,3,28.2,1,2.867
"102",3,3,24.5,1,1.6
"103",3,3,27.5,1,2.55
"104",3,2,24.7,4,2.55
"105",3,1,25.2,1,2
"106",4,3,27.3,1,2.9
"107",3,3,26.3,1,2.4
"108",3,3,29,1,3.1
"109",3,3,25.3,2,1.9
"110",3,3,26.5,4,2.3
"111",3,3,27.8,3,3.25
"112",3,3,27,6,2.5
"113",4,3,25.7,0,2.1
"114",3,3,25,2,2.1
"115",3,3,31.9,2,3.325
"116",5,3,23.7,0,1.8
"117",5,3,29.3,12,3.225
"118",4,3,22,0,1.4
"119",3,3,25,5,2.4
"120",4,3,27,6,2.5
"121",4,3,23.8,6,1.8
"122",2,1,30.2,2,3.275
"123",4,3,26.2,0,2.225
"124",3,3,24.2,2,1.65
"125",3,3,27.4,3,2.9
"126",3,2,25.4,0,2.3
"127",4,3,28.4,3,3.2
"128",5,3,22.5,4,1.475
"129",3,3,26.2,2,2.025
"130",3,1,24.9,6,2.3
"131",2,2,24.5,6,1.95
"132",3,3,25.1,0,1.8
"133",3,1,28,4,2.9
"134",5,3,25.8,10,2.25
"135",3,3,27.9,7,3.05
"136",3,3,24.9,0,2.2
"137",3,1,28.4,5,3.1
"138",4,3,27.2,5,2.4
"139",3,2,25,6,2.25
"140",3,3,27.5,6,2.625
"141",3,1,33.5,7,5.2
"142",3,3,30.5,3,3.325
"143",4,3,29,3,2.925
"144",3,1,24.3,0,2
"145",3,3,25.8,0,2.4
"146",5,3,25,8,2.1
"147",3,1,31.7,4,3.725
"148",3,3,29.5,4,3.025
"149",4,3,24,10,1.9
"150",3,3,30,9,3
"151",3,3,27.6,4,2.85
"152",3,3,26.2,0,2.3
"153",3,1,23.1,0,2
"154",3,1,22.9,0,1.6
"155",5,3,24.5,0,1.9
"156",3,3,24.7,4,1.95
"157",3,3,28.3,0,3.2
"158",3,3,23.9,2,1.85
"159",4,3,23.8,0,1.8
"160",4,2,29.8,4,3.5
"161",3,3,26.5,4,2.35
"162",3,3,26,3,2.275
"163",3,3,28.2,8,3.05
"164",5,3,25.7,0,2.15
"165",3,3,26.5,7,2.75
"166",3,3,25.8,0,2.2
"167",4,3,24.1,0,1.8
"168",4,3,26.2,2,2.175
"169",4,3,26.1,3,2.75
"170",4,3,29,4,3.275
"171",2,1,28,0,2.625
"172",5,3,27,0,2.625
"173",3,2,24.5,0,2
